17952,Alex Hernandez,29,Brazil,s5483,Kabhi Haan Kabhi Naa,"Comedies, Dramas, International Movies",151 min,3.7047623135503898
3222,Katie Brown,72,UK,s7818,Rachel Getting Married,"Dramas, Independent Movies",113 min,2.6417483291153587
18452,David Hernandez,23,Germany,s6302,Big Bad Beetleborgs,"Kids' TV, TV Comedies",2 Seasons,2.704766726612698
24159,Emma Garcia,63,Germany,s3552,The Dark Crystal: Age of Resistance,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",1 Season,0.8546569495499345
1592,David Garcia,45,India,s791,Dream/Killer,Documentaries,109 min,1.4528873148178445
13947,Alex Miller,49,USA,s8364,The Intent,"Dramas, International Movies, Thrillers",99 min,2.77317042002341
13734,John Martinez,61,Mexico,s6607,Diana: 7 Days That Shook the World,Documentaries,93 min,1.0907785347734922
205,David Garcia,16,Canada,s947,Stargate,"Action & Adventure, Sci-Fi & Fantasy",121 min,2.493390969298529
11702,Chris Smith,72,Australia,s8331,The Great Battle,"Action & Adventure, Dramas, International Movies",136 min,2.200475874724806
17952,Alex Hernandez,29,Brazil,s2764,Dragons: Rescue Riders: Hunt for the Golden Dragon,"Children & Family Movies, Comedies",46 min,0.1294600873640106
826,David Jones,38,Germany,s2728,How to Fix a Drug Scandal,"Crime TV Shows, Docuseries",1 Season,4.464406342884312
4009,John Brown,62,UK,s1552,Hilda,Kids' TV,2 Seasons,2.902255027449101
4823,Emma Miller,23,Mexico,s396,Bankrolled,"Comedies, International Movies",97 min,3.8064573812989155
695,Emma Jones,33,France,s5317,Buster's Mal Heart,"Independent Movies, Thrillers",98 min,0.8278181325663769
2709,Emma Brown,42,Canada,s4609,Three Wives One Husband,"British TV Shows, International TV Shows, Reality TV",1 Season,4.060694831585181
14968,Alex Johnson,44,India,s7136,John & Jane,"Documentaries, International Movies",79 min,3.695245188665023
9385,John Jones,49,UK,s205,Kyaa Super Kool Hain Hum,"Comedies, International Movies",136 min,2.7287622022999543
17558,Chris Johnson,13,Germany,s7676,Operation Proposal,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,2.9176515366895113
10986,Sarah Smith,50,UK,s7225,Koshish,"International Movies, Romantic Movies",115 min,2.9259282211056896
11010,Jane Miller,25,UK,s312,Control Z,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2 Seasons,1.431728265505467
